ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2008352,0,0,0,0,0,0,-64.8207,96.2022,1,0,0
0,0,0,2008353,0,0,0,0,0,0,-64.7986,96.3448,1,0,0
0,0,0,2008354,0,0,0,0,0,0,-64.7986,96.3448,1,0,0
0,0,0,2008355,0,0,0,0,0,0,-64.797,96.3409,0,0,0
0,0,0,2008356,0,0,0,0,0,0,-64.793,96.3305,0,0,0
0,0,0,2008357,0,0,0,0,0,0,-64.7872,96.3158,0,0,0
0,0,0,2008358,0,0,0,0,0,0,-64.7806,96.299,0,0,0
0,0,0,2008359,0,0,0,0,0,0,-64.7739,96.2821,0,0,0
0,0,0,2008360,0,0,0,0,0,0,-64.7681,96.2674,0,0,0
0,0,0,2008361,0,0,0,0,0,0,-64.7641,96.257,0,0,0
0,0,0,2008362,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2008363,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2008364,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2008365,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2008366,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2009001,0,0,0,0,0,0,-64.7625,96.2531,1,0,0
0,0,0,2009002,0,0,0,0,0,0,-64.7721,96.2024,1,0,0
0,0,0,2009003,0,0,0,0,0,0,-64.784,96.2506,1,0,0
0,0,0,2009004,0,0,0,0,0,0,-64.7766,96.2218,1,0,0
0,0,0,2009005,0,0,0,0,0,0,-64.7757,96.2764,1,0,0
0,0,0,2009006,0,0,0,0,0,0,-64.7699,96.248,1,0,0
0,0,0,2009007,0,0,0,0,0,0,-64.7538,96.289,1,0,0
0,0,0,2009008,0,0,0,0,0,0,-64.7687,96.1564,1,0,0
0,0,0,2009009,0,0,0,0,0,0,-64.7344,96.2465,1,0,0
0,0,0,2009010,0,0,0,0,0,0,-64.7851,96.2971,1,0,0
0,0,0,2009011,0,0,0,0,0,0,-64.7832,96.2332,1,0,0
0,0,0,2009012,0,0,0,0,0,0,-64.7423,96.1948,1,0,0
0,0,0,2009013,0,0,0,0,0,0,-64.7704,96.1558,1,0,0
0,0,0,2009014,0,0,0,0,0,0,-64.7262,96.1168,1,0,0
0,0,0,2009015,0,0,0,0,0,0,-64.75,96.0133,1,0,0
0,0,0,2009016,0,0,0,0,0,0,-64.7324,96.0529,1,0,0
0,0,0,2009017,0,0,0,0,0,0,-64.7609,96.0514,1,0,0
0,0,0,2009018,0,0,0,0,0,0,-64.7576,96.0871,1,0,0
0,0,0,2009019,0,0,0,0,0,0,-64.6737,96.0576,1,0,0
0,0,0,2009020,0,0,0,0,0,0,-64.7595,96.1885,1,0,0
0,0,0,2009021,0,0,0,0,0,0,-64.7348,96.2745,1,0,0
0,0,0,2009022,0,0,0,0,0,0,-64.7207,96.4542,1,0,0
0,0,0,2009023,0,0,0,0,0,0,-64.7482,96.4399,1,0,0
0,0,0,2009024,0,0,0,0,0,0,-64.7748,96.4793,1,0,0
0,0,0,2009025,0,0,0,0,0,0,-64.765,96.4681,1,0,0
0,0,0,2009026,0,0,0,0,0,0,-64.7938,96.494,1,0,0
0,0,0,2009027,0,0,0,0,0,0,-64.78,96.5635,1,0,0
0,0,0,2009028,0,0,0,0,0,0,-64.8158,96.5925,1,0,0
0,0,0,2009029,0,0,0,0,0,0,-64.7915,96.5859,1,0,0
0,0,0,2009030,0,0,0,0,0,0,-64.8072,96.5902,1,0,0
0,0,0,2009031,0,0,0,0,0,0,-64.8074,96.5536,1,0,0
0,0,0,2009032,0,0,0,0,0,0,-64.8065,96.5717,1,0,0
0,0,0,2009033,0,0,0,0,0,0,-64.8047,96.4614,1,0,0
0,0,0,2009034,0,0,0,0,0,0,-64.8257,96.5026,1,0,0
0,0,0,2009035,0,0,0,0,0,0,-64.8092,96.5164,1,0,0
0,0,0,2009036,0,0,0,0,0,0,-64.8289,96.4032,1,0,0
0,0,0,2009037,0,0,0,0,0,0,-64.8153,96.3889,1,0,0
0,0,0,2009038,0,0,0,0,0,0,-64.8215,96.4088,1,0,0
0,0,0,2009039,0,0,0,0,0,0,-64.8277,96.4288,1,0,0
0,0,0,2009040,0,0,0,0,0,0,-64.7516,96.3818,1,0,0
0,0,0,2009041,0,0,0,0,0,0,-64.7357,96.4045,1,0,0
0,0,0,2009042,0,0,0,0,0,0,-64.7555,96.4376,1,0,0
0,0,0,2009043,0,0,0,0,0,0,-64.7494,96.3813,1,0,0
0,0,0,2009044,0,0,0,0,0,0,-64.7506,96.3902,1,0,0
0,0,0,2009045,0,0,0,0,0,0,-64.7208,96.4188,1,0,0
0,0,0,2009046,0,0,0,0,0,0,-64.6982,96.4772,1,0,0
0,0,0,2009047,0,0,0,0,0,0,-64.7297,96.4501,1,0,0
0,0,0,2009048,0,0,0,0,0,0,-64.7399,96.4979,1,0,0
0,0,0,2009049,0,0,0,0,0,0,-64.7431,96.3989,1,0,0
0,0,0,2009050,0,0,0,0,0,0,-64.7906,96.4469,1,0,0
0,0,0,2009051,0,0,0,0,0,0,-64.7849,96.4637,1,0,0
0,0,0,2009052,0,0,0,0,0,0,-64.7799,96.4537,1,0,0
0,0,0,2009053,0,0,0,0,0,0,-64.8089,96.4431,1,0,0
0,0,0,2009054,0,0,0,0,0,0,-64.7937,96.4294,1,0,0
0,0,0,2009055,0,0,0,0,0,0,-64.8068,96.4512,1,0,0
0,0,0,2009056,0,0,0,0,0,0,-64.8016,96.4132,1,0,0
0,0,0,2009057,0,0,0,0,0,0,-64.7954,96.3933,1,0,0
0,0,0,2009058,0,0,0,0,0,0,-64.7405,96.351,1,0,0
0,0,0,2009059,0,0,0,0,0,0,-64.7506,96.3902,1,0,0
0,0,0,2009060,0,0,0,0,0,0,-64.7489,96.4262,1,0,0
0,0,0,2009061,0,0,0,0,0,0,-64.744,96.3798,1,0,0
0,0,0,2009062,0,0,0,0,0,0,-64.7515,96.3721,1,0,0
0,0,0,2009063,0,0,0,0,0,0,-64.7734,96.3596,1,0,0
0,0,0,2009064,0,0,0,0,0,0,-64.7734,96.3596,1,0,0
