ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-73.711,-26.691,1,2015315,0,0,0,0,0
-73.6782,-26.9222,1,2015316,0,0,0,0,0
-73.6865,-27.1054,1,2015317,0,0,0,0,0
-73.6857,-27.265,1,2015318,0,0,0,0,0
-73.6857,-27.265,1,2015319,0,0,0,0,0
-73.7444,-27.4965,1,2015320,0,0,0,0,0
-73.7444,-27.4965,1,2015321,0,0,0,0,0
-73.7742,-27.5982,1,2015322,0,0,0,0,0
-73.8145,-27.7127,1,2015323,0,0,0,0,0
-73.8145,-27.7127,1,2015324,0,0,0,0,0
-73.8539,-27.6699,1,2015325,0,0,0,0,0
-73.8539,-27.6699,1,2015326,0,0,0,0,0
-73.8539,-27.6699,1,2015327,0,0,0,0,0
-73.8539,-27.6699,1,2015328,0,0,0,0,0
-73.877,-27.5108,1,2015329,0,0,0,0,0
-73.877,-27.5108,1,2015330,0,0,0,0,0
-73.877,-27.5108,1,2015331,0,0,0,0,0
-73.877,-27.5108,1,2015332,0,0,0,0,0
-73.877,-27.5108,1,2015333,0,0,0,0,0
-73.877,-27.5108,0,2015334,0,0,0,0,0
-73.877,-27.5108,1,2015335,0,0,0,0,0
-73.877,-27.5108,1,2015336,0,0,0,0,0
-73.877,-27.5108,1,2015337,0,0,0,0,0
-73.877,-27.5108,1,2015338,0,0,0,0,0
-73.9544,-27.3746,1,2015339,0,0,0,0,0
-73.9544,-27.3746,1,2015340,0,0,0,0,0
-73.9544,-27.3746,1,2015341,0,0,0,0,0
-74.0123,-27.0365,1,2015342,0,0,0,0,0
-74.0123,-27.0365,1,2015343,0,0,0,0,0
-74.0123,-27.0365,1,2015344,0,0,0,0,0
-74.1093,-27.0839,1,2015345,0,0,0,0,0
-74.1856,-27.0212,1,2015346,0,0,0,0,0
-74.1856,-27.0212,1,2015347,0,0,0,0,0
-74.2744,-26.7825,1,2015348,0,0,0,0,0
-74.2744,-26.7825,1,2015349,0,0,0,0,0
-74.2744,-26.7825,1,2015350,0,0,0,0,0
-74.2072,-26.5959,1,2015351,0,0,0,0,0
-74.2047,-26.71,1,2015352,0,0,0,0,0
-74.2047,-26.71,1,2015353,0,0,0,0,0
-74.1914,-26.8906,1,2015354,0,0,0,0,0
-74.1914,-27.0567,1,2015355,0,0,0,0,0
-74.2487,-27.0527,1,2015356,0,0,0,0,0
-74.2487,-27.0527,1,2015357,0,0,0,0,0
-74.2487,-27.0527,1,2015358,0,0,0,0,0
-74.3435,-26.9442,1,2015359,0,0,0,0,0
-74.3435,-26.9442,1,2015360,0,0,0,0,0
-74.3878,-26.6918,1,2015361,0,0,0,0,0
-74.3878,-26.6918,0,2015362,0,0,0,0,0
-74.3878,-26.6918,1,2015363,0,0,0,0,0
-74.3498,-26.4136,1,2015364,0,0,0,0,0
-74.3498,-26.4136,1,2015365,0,0,0,0,0
-74.3498,-26.4136,0,2016001,0,0,0,0,0
-74.3498,-26.4136,1,2016002,0,0,0,0,0
-74.3498,-26.4136,1,2016003,0,0,0,0,0
-74.3498,-26.4136,1,2016004,0,0,0,0,0
-74.341,-26.0251,1,2016005,0,0,0,0,0
-74.341,-26.0251,1,2016006,0,0,0,0,0
-74.341,-26.0251,1,2016007,0,0,0,0,0
-74.341,-26.0251,1,2016008,0,0,0,0,0
-74.341,-26.0251,1,2016009,0,0,0,0,0
-74.341,-26.0251,1,2016010,0,0,0,0,0
-74.341,-26.0251,1,2016011,0,0,0,0,0
-74.341,-26.0251,1,2016012,0,0,0,0,0
-74.3221,-26.1742,1,2016013,0,0,0,0,0
-74.2896,-26.2733,0,2016014,0,0,0,0,0
-74.2681,-26.3213,1,2016015,0,0,0,0,0
-74.2681,-26.3213,1,2016016,0,0,0,0,0
-74.2681,-26.3213,1,2016017,0,0,0,0,0
-74.2367,-26.4296,0,2016018,0,0,0,0,0
-74.2053,-26.5378,1,2016019,0,0,0,0,0
-74.2053,-26.5378,1,2016020,0,0,0,0,0
-74.2053,-26.5378,1,2016021,0,0,0,0,0
-74.2053,-26.5378,1,2016022,0,0,0,0,0
-74.2053,-26.5378,1,2016023,0,0,0,0,0
-74.2053,-26.5378,1,2016024,0,0,0,0,0
-74.2053,-26.5378,1,2016025,0,0,0,0,0
-74.2053,-26.5378,1,2016026,0,0,0,0,0
-74.2103,-26.2462,1,2016027,0,0,0,0,0
-74.2103,-26.2462,1,2016028,0,0,0,0,0
-74.2103,-26.2462,1,2016029,0,0,0,0,0
-74.2103,-26.2462,1,2016030,0,0,0,0,0
-74.2103,-26.2462,0,2016031,0,0,0,0,0
-74.2103,-26.2462,1,2016032,0,0,0,0,0
-74.2103,-26.2462,1,2016033,0,0,0,0,0
-74.1465,-26.4699,1,2016034,0,0,0,0,0
-74.1465,-26.4699,1,2016035,0,0,0,0,0
